experience_tier,core_skill,job_count,total_jobs,skill_percentage
Fresher,AWS,42,2219,1.89
Fresher,Agile,135,2219,6.08
Fresher,Artificial Intelligence,239,2219,10.77
Fresher,Cloud,134,2219,6.04
Fresher,Data Analysis,525,2219,23.66
Fresher,Data Engineering,44,2219,1.98
Fresher,Data Mining,38,2219,1.71
Fresher,Data Modeling,59,2219,2.66
Fresher,Data Quality,61,2219,2.75
Fresher,Data Science,97,2219,4.37
Fresher,Django,10,2219,0.45
Fresher,Excel,120,2219,5.41
Fresher,GCP,70,2219,3.15
Fresher,JavaScript,93,2219,4.19
Fresher,Machine Learning,346,2219,15.59
Fresher,Natural Language Processing,70,2219,3.15
Fresher,Power BI,93,2219,4.19
Fresher,Project Management,195,2219,8.79
Fresher,PySpark,51,2219,2.3
Fresher,Python,297,2219,13.38
Fresher,SQL,264,2219,11.9
Fresher,Tableau,17,2219,0.77
Junior (0-2 Yrs),AWS,96,4915,1.95
Junior (0-2 Yrs),Agile,281,4915,5.72
Junior (0-2 Yrs),Artificial Intelligence,444,4915,9.03
Junior (0-2 Yrs),Cloud,177,4915,3.6
Junior (0-2 Yrs),Data Analysis,1258,4915,25.6
Junior (0-2 Yrs),Data Engineering,92,4915,1.87
Junior (0-2 Yrs),Data Mining,95,4915,1.93
Junior (0-2 Yrs),Data Modeling,159,4915,3.23
Junior (0-2 Yrs),Data Quality,191,4915,3.89
Junior (0-2 Yrs),Data Science,157,4915,3.19
Junior (0-2 Yrs),Django,83,4915,1.69
Junior (0-2 Yrs),Excel,325,4915,6.61
Junior (0-2 Yrs),GCP,124,4915,2.52
Junior (0-2 Yrs),JavaScript,209,4915,4.25
Junior (0-2 Yrs),Machine Learning,731,4915,14.87
Junior (0-2 Yrs),Natural Language Processing,165,4915,3.36
Junior (0-2 Yrs),Power BI,264,4915,5.37
Junior (0-2 Yrs),Project Management,428,4915,8.71
Junior (0-2 Yrs),PySpark,43,4915,0.87
Junior (0-2 Yrs),Python,716,4915,14.57
Junior (0-2 Yrs),SQL,691,4915,14.06
Junior (0-2 Yrs),Tableau,87,4915,1.77
Lead/Architect (9+ Yrs),AWS,56,1145,4.89
Lead/Architect (9+ Yrs),Agile,59,1145,5.15
Lead/Architect (9+ Yrs),Artificial Intelligence,160,1145,13.97
Lead/Architect (9+ Yrs),Cloud,119,1145,10.39
Lead/Architect (9+ Yrs),Data Analysis,133,1145,11.62
Lead/Architect (9+ Yrs),Data Engineering,71,1145,6.2
Lead/Architect (9+ Yrs),Data Mining,9,1145,0.79
Lead/Architect (9+ Yrs),Data Modeling,63,1145,5.5
Lead/Architect (9+ Yrs),Data Quality,41,1145,3.58
Lead/Architect (9+ Yrs),Data Science,60,1145,5.24
Lead/Architect (9+ Yrs),Django,11,1145,0.96
Lead/Architect (9+ Yrs),Excel,14,1145,1.22
Lead/Architect (9+ Yrs),GCP,73,1145,6.38
Lead/Architect (9+ Yrs),JavaScript,21,1145,1.83
Lead/Architect (9+ Yrs),Machine Learning,175,1145,15.28
