job_id,role_category,skill,core_skill,job_title,company_name,scraped_city,experience_tier,work_mode,salary_midpoint_lpa,salary_disclosed,salary_tier
1,Data Scientist,data analysis,Data Analysis,Data Scientist,Cisco,Bangalore,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
1,Data Scientist,data science,Data Science,Data Scientist,Cisco,Bangalore,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
2,Data Scientist,machine learning,Machine Learning,Data Scientist,Caterpillar Inc,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
8,Data Scientist,data science,Data Science,Advanced Data Scientist,Exxon Mobil Corporation,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
8,Data Scientist,machine learning,Machine Learning,Advanced Data Scientist,Exxon Mobil Corporation,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
8,Data Scientist,agile,Agile,Advanced Data Scientist,Exxon Mobil Corporation,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
8,Data Scientist,python,Python,Advanced Data Scientist,Exxon Mobil Corporation,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
9,Data Scientist,data science,Data Science,"Data Scientist, Google Play, Product",Google,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
9,Data Scientist,machine learning,Machine Learning,"Data Scientist, Google Play, Product",Google,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
10,Data Scientist,python,Python,Machine Learning Data Scientist,Hsbc,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
10,Data Scientist,data analysis,Data Analysis,Machine Learning Data Scientist,Hsbc,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
10,Data Scientist,machine learning,Machine Learning,Machine Learning Data Scientist,Hsbc,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
11,Data Scientist,data analysis,Data Analysis,Sr Data Scientist - Advanced Machine Learning,Target,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
11,Data Scientist,machine learning,Machine Learning,Sr Data Scientist - Advanced Machine Learning,Target,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
12,Data Scientist,project management,Project Management,Data Scientist - Service Parts Supply Chain,Philips,Bangalore,Fresher,On-site,0.0,False,Undisclosed
13,Data Scientist,data quality,Data Quality,Data Scientist Cyber Threat Intelligence,A.P. Moller Maersk,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
14,Data Scientist,artificial intelligence,Artificial Intelligence,Data Scientist,EXL,Bangalore,Mid (3-5 Yrs),Hybrid,0.0,False,Undisclosed
14,Data Scientist,python,Python,Data Scientist,EXL,Bangalore,Mid (3-5 Yrs),Hybrid,0.0,False,Undisclosed
14,Data Scientist,sql,SQL,Data Scientist,EXL,Bangalore,Mid (3-5 Yrs),Hybrid,0.0,False,Undisclosed
14,Data Scientist,data science,Data Science,Data Scientist,EXL,Bangalore,Mid (3-5 Yrs),Hybrid,0.0,False,Undisclosed
15,Data Scientist,cloud computing,Cloud,Data Scientist,Maruti Suzuki,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
15,Data Scientist,data analysis,Data Analysis,Data Scientist,Maruti Suzuki,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
15,Data Scientist,machine learning,Machine Learning,Data Scientist,Maruti Suzuki,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
16,Data Scientist,data analysis,Data Analysis,"Staff Data Scientist, Ads Insights and Measurement",Google,Bangalore,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
17,Data Scientist,cloud computing,Cloud,AI / ML Data Scientist I,Nielsen Sports,Bangalore,Fresher,On-site,0.0,False,Undisclosed
17,Data Scientist,data science,Data Science,AI / ML Data Scientist I,Nielsen Sports,Bangalore,Fresher,On-site,0.0,False,Undisclosed
17,Data Scientist,machine learning,Machine Learning,AI / ML Data Scientist I,Nielsen Sports,Bangalore,Fresher,On-site,0.0,False,Undisclosed
18,Data Scientist,machine learning,Machine Learning,Data Scientist,Genpact,Bangalore,Senior (6-8 Yrs),Hybrid,20.0,True,Senior (10-20 LPA)
18,Data Scientist,python,Python,Data Scientist,Genpact,Bangalore,Senior (6-8 Yrs),Hybrid,20.0,True,Senior (10-20 LPA)
18,Data Scientist,data science,Data Science,Data Scientist,Genpact,Bangalore,Senior (6-8 Yrs),Hybrid,20.0,True,Senior (10-20 LPA)
18,Data Scientist,natural language processing,Natural Language Processing,Data Scientist,Genpact,Bangalore,Senior (6-8 Yrs),Hybrid,20.0,True,Senior (10-20 LPA)
19,Data Scientist,python,Python,Marketing Data Scientist/Engineer,Wipro,Bangalore,Mid (3-5 Yrs),Hybrid,0.0,False,Undisclosed
19,Data Scientist,sql,SQL,Marketing Data Scientist/Engineer,Wipro,Bangalore,Mid (3-5 Yrs),Hybrid,0.0,False,Undisclosed
20,Data Scientist,artificial intelligence,Artificial Intelligence,Data Scientist-Artificial Intelligence,IBM,Bangalore,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
20,Data Scientist,sql,SQL,Data Scientist-Artificial Intelligence,IBM,Bangalore,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
21,Data Scientist,python,Python,Data Scientist,Alstom,Bangalore,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
21,Data Scientist,machine learning,Machine Learning,Data Scientist,Alstom,Bangalore,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
21,Data Scientist,artificial intelligence,Artificial Intelligence,Data Scientist,Alstom,Bangalore,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
21,Data Scientist,sql,SQL,Data Scientist,Alstom,Bangalore,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
22,Data Scientist,gcp,GCP,Data Scientist - Gen AI,Fractal Analytics,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
22,Data Scientist,natural language processing,Natural Language Processing,Data Scientist - Gen AI,Fractal Analytics,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
23,Data Scientist,data engineering,Data Engineering,Data Scientist - Predictive Intelligence (Sensor Fusion & Time Series),Pump Academy,Bangalore,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
24,Data Scientist,project management,Project Management,Data Scientist,Ecolab Global Services,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
24,Data Scientist,data science,Data Science,Data Scientist,Ecolab Global Services,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
25,Data Scientist,artificial intelligence,Artificial Intelligence,Data Scientist,Leading IT Service and Consulting Organization,Bangalore,Mid (3-5 Yrs),Hybrid,0.0,False,Undisclosed
25,Data Scientist,natural language processing,Natural Language Processing,Data Scientist,Leading IT Service and Consulting Organization,Bangalore,Mid (3-5 Yrs),Hybrid,0.0,False,Undisclosed
25,Data Scientist,machine learning,Machine Learning,Data Scientist,Leading IT Service and Consulting Organization,Bangalore,Mid (3-5 Yrs),Hybrid,0.0,False,Undisclosed
25,Data Scientist,python,Python,Data Scientist,Leading IT Service and Consulting Organization,Bangalore,Mid (3-5 Yrs),Hybrid,0.0,False,Undisclosed
25,Data Scientist,gcp,GCP,Data Scientist,Leading IT Service and Consulting Organization,Bangalore,Mid (3-5 Yrs),Hybrid,0.0,False,Undisclosed
26,Data Scientist,data analysis,Data Analysis,Data Scientist I,Sparta Systems,Bangalore,Fresher,On-site,0.0,False,Undisclosed
26,Data Scientist,data science,Data Science,Data Scientist I,Sparta Systems,Bangalore,Fresher,On-site,0.0,False,Undisclosed
26,Data Scientist,machine learning,Machine Learning,Data Scientist I,Sparta Systems,Bangalore,Fresher,On-site,0.0,False,Undisclosed
27,Data Scientist,data science,Data Science,Hiring For data Scientist,Tech Mahindra,Bangalore,Mid (3-5 Yrs),Hybrid,23.75,True,Leadership (20+ LPA)
27,Data Scientist,artificial intelligence,Artificial Intelligence,Hiring For data Scientist,Tech Mahindra,Bangalore,Mid (3-5 Yrs),Hybrid,23.75,True,Leadership (20+ LPA)
27,Data Scientist,natural language processing,Natural Language Processing,Hiring For data Scientist,Tech Mahindra,Bangalore,Mid (3-5 Yrs),Hybrid,23.75,True,Leadership (20+ LPA)
27,Data Scientist,machine learning,Machine Learning,Hiring For data Scientist,Tech Mahindra,Bangalore,Mid (3-5 Yrs),Hybrid,23.75,True,Leadership (20+ LPA)
27,Data Scientist,python,Python,Hiring For data Scientist,Tech Mahindra,Bangalore,Mid (3-5 Yrs),Hybrid,23.75,True,Leadership (20+ LPA)
28,Data Scientist,python,Python,Data Scientist-Artificial Intelligence,IBM,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
28,Data Scientist,cloud platforms,Cloud,Data Scientist-Artificial Intelligence,IBM,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
28,Data Scientist,machine learning,Machine Learning,Data Scientist-Artificial Intelligence,IBM,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
28,Data Scientist,artificial intelligence,Artificial Intelligence,Data Scientist-Artificial Intelligence,IBM,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
29,Data Scientist,python,Python,Data Scientist,Hackajob,Bangalore,Junior (0-2 Yrs),Hybrid,19.75,True,Senior (10-20 LPA)
29,Data Scientist,machine learning,Machine Learning,Data Scientist,Hackajob,Bangalore,Junior (0-2 Yrs),Hybrid,19.75,True,Senior (10-20 LPA)
30,Data Scientist,machine learning,Machine Learning,Data Scientist,Ltimindtree,Bangalore,Senior (6-8 Yrs),Hybrid,23.5,True,Senior (10-20 LPA)
30,Data Scientist,python,Python,Data Scientist,Ltimindtree,Bangalore,Senior (6-8 Yrs),Hybrid,23.5,True,Senior (10-20 LPA)
30,Data Scientist,artificial intelligence,Artificial Intelligence,Data Scientist,Ltimindtree,Bangalore,Senior (6-8 Yrs),Hybrid,23.5,True,Senior (10-20 LPA)
32,Data Scientist,python,Python,Data Scientist,Comviva Technology,Bangalore,Mid (3-5 Yrs),Hybrid,0.0,False,Undisclosed
32,Data Scientist,artificial intelligence,Artificial Intelligence,Data Scientist,Comviva Technology,Bangalore,Mid (3-5 Yrs),Hybrid,0.0,False,Undisclosed
33,Data Scientist,artificial intelligence,Artificial Intelligence,Data Scientist GenAI / Machine Learning,Insight Global Technologies,Bangalore,Mid (3-5 Yrs),On-site,18.0,True,Senior (10-20 LPA)
33,Data Scientist,machine learning,Machine Learning,Data Scientist GenAI / Machine Learning,Insight Global Technologies,Bangalore,Mid (3-5 Yrs),On-site,18.0,True,Senior (10-20 LPA)
33,Data Scientist,python,Python,Data Scientist GenAI / Machine Learning,Insight Global Technologies,Bangalore,Mid (3-5 Yrs),On-site,18.0,True,Senior (10-20 LPA)
34,Data Scientist,gcp,GCP,Data Scientist - Gen AI,Fractal Analytics,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
34,Data Scientist,natural language processing,Natural Language Processing,Data Scientist - Gen AI,Fractal Analytics,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
35,Data Scientist,aws sagemaker,AWS,Data Scientist,KPI Partners,Bangalore,Senior (6-8 Yrs),Hybrid,32.5,True,Leadership (20+ LPA)
35,Data Scientist,python,Python,Data Scientist,KPI Partners,Bangalore,Senior (6-8 Yrs),Hybrid,32.5,True,Leadership (20+ LPA)
35,Data Scientist,sql,SQL,Data Scientist,KPI Partners,Bangalore,Senior (6-8 Yrs),Hybrid,32.5,True,Leadership (20+ LPA)
36,Data Scientist,data analysis,Data Analysis,"Data Scientist Time Series, Statistical Modelling & Azure Data Bricks",Capco,Bangalore,Junior (0-2 Yrs),On-site,0.0,False,Undisclosed
36,Data Scientist,data science,Data Science,"Data Scientist Time Series, Statistical Modelling & Azure Data Bricks",Capco,Bangalore,Junior (0-2 Yrs),On-site,0.0,False,Undisclosed
36,Data Scientist,data quality,Data Quality,"Data Scientist Time Series, Statistical Modelling & Azure Data Bricks",Capco,Bangalore,Junior (0-2 Yrs),On-site,0.0,False,Undisclosed
37,Data Scientist,data engineering,Data Engineering,Gen AI Data Scientist,Tata Consultancy Services,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
37,Data Scientist,python,Python,Gen AI Data Scientist,Tata Consultancy Services,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
37,Data Scientist,artificial intelligence,Artificial Intelligence,Gen AI Data Scientist,Tata Consultancy Services,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
38,Data Scientist,data analysis,Data Analysis,"Data Scientist Time Series, Statistical Modelling & Azure Data Bricks",Capco,Bangalore,Junior (0-2 Yrs),On-site,0.0,False,Undisclosed
38,Data Scientist,data science,Data Science,"Data Scientist Time Series, Statistical Modelling & Azure Data Bricks",Capco,Bangalore,Junior (0-2 Yrs),On-site,0.0,False,Undisclosed
38,Data Scientist,data quality,Data Quality,"Data Scientist Time Series, Statistical Modelling & Azure Data Bricks",Capco,Bangalore,Junior (0-2 Yrs),On-site,0.0,False,Undisclosed
39,Data Scientist,data science,Data Science,Data Scientist,Aon,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
39,Data Scientist,agile,Agile,Data Scientist,Aon,Bangalore,Mid (3-5 Yrs),On-site,0.0,False,Undisclosed
40,Data Scientist,machine learning,Machine Learning,Data Scientist,Voya India,Bangalore,Mid (3-5 Yrs),On-site,16.5,True,Senior (10-20 LPA)
40,Data Scientist,python,Python,Data Scientist,Voya India,Bangalore,Mid (3-5 Yrs),On-site,16.5,True,Senior (10-20 LPA)
40,Data Scientist,sql,SQL,Data Scientist,Voya India,Bangalore,Mid (3-5 Yrs),On-site,16.5,True,Senior (10-20 LPA)
40,Data Scientist,natural language processing,Natural Language Processing,Data Scientist,Voya India,Bangalore,Mid (3-5 Yrs),On-site,16.5,True,Senior (10-20 LPA)
41,Data Scientist,natural language processing,Natural Language Processing,AI Data Engineer/Scientist,Wipro,Bangalore,Mid (3-5 Yrs),Remote,0.0,False,Undisclosed
41,Data Scientist,python,Python,AI Data Engineer/Scientist,Wipro,Bangalore,Mid (3-5 Yrs),Remote,0.0,False,Undisclosed
41,Data Scientist,artificial intelligence,Artificial Intelligence,AI Data Engineer/Scientist,Wipro,Bangalore,Mid (3-5 Yrs),Remote,0.0,False,Undisclosed
42,Data Scientist,python,Python,Walkin Drive | Bangalore | June 13 | Data Scientist,Tata Consultancy Services,Bangalore,Lead/Architect (9+ Yrs),On-site,0.0,False,Undisclosed
42,Data Scientist,artificial intelligence,Artificial Intelligence,Walkin Drive | Bangalore | June 13 | Data Scientist,Tata Consultancy Services,Bangalore,Lead/Architect (9+ Yrs),On-site,0.0,False,Undisclosed
43,Data Scientist,machine learning,Machine Learning,Data Scientist,Tata Consultancy Services,Bangalore,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
43,Data Scientist,python,Python,Data Scientist,Tata Consultancy Services,Bangalore,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
43,Data Scientist,sql,SQL,Data Scientist,Tata Consultancy Services,Bangalore,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
43,Data Scientist,natural language processing,Natural Language Processing,Data Scientist,Tata Consultancy Services,Bangalore,Senior (6-8 Yrs),On-site,0.0,False,Undisclosed
44,Data Scientist,artificial intelligence,Artificial Intelligence,Data Scientist / AI/ML Engineer,Black and white Business Solution,Bangalore,Mid (3-5 Yrs),Hybrid,27.5,True,Leadership (20+ LPA)
44,Data Scientist,python,Python,Data Scientist / AI/ML Engineer,Black and white Business Solution,Bangalore,Mid (3-5 Yrs),Hybrid,27.5,True,Leadership (20+ LPA)
45,Data Scientist,artificial intelligence,Artificial Intelligence,Staff Data Scientist | (AI ML |Graph Neural Networks and NLP),Neuron7,Bangalore,Fresher,On-site,0.0,False,Undisclosed
45,Data Scientist,machine learning,Machine Learning,Staff Data Scientist | (AI ML |Graph Neural Networks and NLP),Neuron7,Bangalore,Fresher,On-site,0.0,False,Undisclosed
45,Data Scientist,sql,SQL,Staff Data Scientist | (AI ML |Graph Neural Networks and NLP),Neuron7,Bangalore,Fresher,On-site,0.0,False,Undisclosed
