job_id,job_title,company_name,company_rating,location,scraped_city,role_category,experience_raw,experience_min_yrs,experience_max_yrs,salary_min_lpa,salary_max_lpa,salary_midpoint_lpa,salary_disclosed,work_mode,company_size_bucket,primary_city,skill_domain,days_since_posted,is_senior,is_fresher_friendly,experience_tier,salary_tier
1,Data Scientist,Cisco,4.1,Bengaluru,Bangalore,Data Scientist,7-10 Yrs,7.0,10.0,0.0,0.0,0.0,False,On-site,Large (1000+),Bangalore,Business Intelligence,21.0,False,False,Senior (6-8 Yrs),Undisclosed
2,Data Scientist,Caterpillar Inc,4.1,Bengaluru,Bangalore,Data Scientist,4-8 Yrs,4.0,8.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,AI/ML/DL,21.0,False,False,Mid (3-5 Yrs),Undisclosed
3,Analytics Data Scientist,Foreign IT Consulting MNC,3.6,"Hyderabad, Chennai, Bengaluru",Bangalore,Data Scientist,4-9 Yrs,4.0,9.0,0.0,0.0,0.0,False,On-site,Large (1000+),Hyderabad,Business Intelligence,21.0,False,False,Mid (3-5 Yrs),Undisclosed
4,Data Scientist,Fortune 500 IT Services Company,3.6,"Mumbai, Bengaluru",Bangalore,Data Scientist,10-14 Yrs,0.0,0.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Mumbai,Data Science,21.0,False,True,Fresher,Undisclosed
5,Sr. Artificial Intelligence Engineer,Fortune 500 Product-based MNC,3.6,"Pune, Bengaluru",Bangalore,Data Scientist,5-10 Yrs,5.0,10.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Pune,Data Science,21.0,True,False,Mid (3-5 Yrs),Undisclosed
6,Data Scientist,Top Rated IT Enterprise,3.6,"Chennai, Bengaluru",Bangalore,Data Scientist,3-8 Yrs,3.0,8.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Chennai,Data Science,21.0,False,False,Mid (3-5 Yrs),Undisclosed
7,Data Scientist,Leading IT Firm,3.6,"Chennai, Bengaluru",Bangalore,Data Scientist,5-10 Yrs,5.0,10.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Chennai,Data Science,21.0,False,False,Mid (3-5 Yrs),Undisclosed
8,Advanced Data Scientist,Exxon Mobil Corporation,3.7,Bengaluru,Bangalore,Data Scientist,5-10 Yrs,5.0,10.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,AI/ML/DL,21.0,False,False,Mid (3-5 Yrs),Undisclosed
9,"Data Scientist, Google Play, Product",Google,4.4,Bengaluru,Bangalore,Data Scientist,5-10 Yrs,5.0,10.0,0.0,0.0,0.0,False,On-site,Large (1000+),Bangalore,AI/ML/DL,21.0,False,False,Mid (3-5 Yrs),Undisclosed
10,Machine Learning Data Scientist,Hsbc,3.8,Bengaluru,Bangalore,Data Scientist,3-7 Yrs,3.0,7.0,0.0,0.0,0.0,False,On-site,Large (1000+),Bangalore,AI/ML/DL,21.0,False,False,Mid (3-5 Yrs),Undisclosed
11,Sr Data Scientist - Advanced Machine Learning,Target,4.0,Bengaluru,Bangalore,Data Scientist,4-9 Yrs,4.0,9.0,0.0,0.0,0.0,False,On-site,Small/Startup (<100),Bangalore,AI/ML/DL,21.0,False,False,Mid (3-5 Yrs),Undisclosed
12,Data Scientist - Service Parts Supply Chain,Philips,3.8,Bengaluru,Bangalore,Data Scientist,10-15 Yrs,0.0,0.0,0.0,0.0,0.0,False,On-site,Large (1000+),Bangalore,Business Intelligence,21.0,False,True,Fresher,Undisclosed
