core_skill,job_count,job_percentage
Python,4347,18.74
Data Analysis,4209,18.14
SQL,4138,17.84
Machine Learning,3558,15.34
Artificial Intelligence,2144,9.24
Agile,1609,6.94
Project Management,1604,6.91
Cloud,1542,6.65
Data Engineering,1131,4.87
Power BI,1106,4.77
GCP,1084,4.67
Data Modeling,1067,4.6
Data Quality,1059,4.56
AWS,996,4.29
Data Science,976,4.21
Natural Language Processing,925,3.99
PySpark,870,3.75
JavaScript,855,3.69
Excel,755,3.25
Tableau,349,1.5
Django,346,1.49
Data Mining,337,1.45
