core_skill,job_count,average_salary,median_salary
Natural Language Processing,132,24.91871212121212,22.625
Data Science,132,20.356060606060606,22.25
Machine Learning,337,21.444480712166172,21.25
GCP,102,19.929117647058824,21.25
PySpark,207,20.03734299516908,20.5
Artificial Intelligence,325,20.99547692307692,20.25
Data Modeling,52,22.389423076923077,20.0
AWS,244,19.90081967213115,20.0
Data Engineering,237,18.246708860759494,18.75
Python,816,18.68230392156863,18.0
Cloud,139,19.23345323741007,17.5
JavaScript,40,14.8095,16.25
SQL,569,16.562267135325133,15.5
Django,58,15.435862068965516,15.0
Agile,46,16.09130434782609,15.0
Tableau,74,14.368243243243244,10.875
Power BI,184,11.688206521739131,8.75
Data Analysis,228,11.327017543859649,8.0
Excel,156,5.456730769230769,4.5
